11765,24292,200000000
31034,21938,7570000
31034,31034,61410000
10547,9882,40000000
10547,10547,155461085
27104,17293,5260640
27104,40612,87900000
59859,32957,1000000000
59859,10922,4300000000
23342,56286,9738872
23342,43802,1020000000
32750,15484,77010000
32750,59871,21000000
6318,51773,58641169
6318,50242,20000000
9584,59776,4000000000
9584,50818,23170000
20454,50242,20000000
20454,59086,68574258
45449,3726,203950000
45449,32116,1040000
28449,53599,22000000
28449,28449,6189739
6372,22620,55447884
6372,6372,459702116
21121,13532,142169653
21121,5885,1017351
21390,10949,66600000
21390,43764,188400000
56091,33028,55000000
56091,56091,16000000
30249,39844,100000
30249,9857,1485350000
21493,3758,100000
21493,58121,1927570000
31430,1715,879750000
31430,58666,100000
38044,31822,293947804
38044,37393,3614865660
45426,46485,3343079167
45426,37685,1541000000
13772,1217,342722386
13772,10689,1002614
21644,35199,2002392011
21644,42618,2000000000
42868,1217,341950000
47555,38635,1050000
47555,26031,107950000
14608,42759,1000000000
14608,51495,979990000
30352,53620,1020000
30352,47649,69850000
21375,49712,108616000
21375,57226,1156000
59776,40358,36150149
59776,49411,3906399851
59776,32943,3050000000
27362,30478,152260000
27362,40849,500000000
27362,29969,7607298
27362,27362,161484631
52160,5342,42297784
52160,3713,1087286
24537,26473,700000
24537,24537,14570000
53578,34948,25000000
53578,53578,296458065
53655,26567,621950000
41838,10198,999170000
41838,8829,180000
34003,31779,200000000
34003,26539,799500000
9572,10068,100000
9572,59222,379942615
11627,15308,10925817
11627,55796,2668461068
19185,15939,27773124852
19185,22772,9397268
31856,36474,20700000
20074,4696,300000000
20074,54042,24493130
53804,40022,3900000
53804,19812,256923869
619,1217,6771000
619,20803,787710873
42106,29737,32904071
42106,29396,249400000
42106,56575,13582166031
35485,40802,4900956
35485,23920,127540456
45155,6602,246000000
45155,13371,4329072556
45155,10133,1989424
9185,56288,650000000
9185,42123,7370000
23297,40816,799950000
2741,28310,244315915
2741,2741,6838850434
58706,58706,1001313
58706,23797,717000000
38998,31222,5617774
38998,38998,173829637
12968,2517,1001333
12968,9557,23522667
40829,25636,26737968
40829,40829,21647448
54858,19294,1005847905
54858,814,200000
55200,55200,1000000
55200,4702,1612500000
49745,28887,141800000
49745,56900,1280700000
49745,4441,2139466
5534,8051,300000000
5534,16197,2742275516
5534,44548,1339427
25939,32381,46720000
25939,57233,953280000
25939,59714,3039424
51601,17291,100000000
