Run command: "java  -classpath .:./bin:./libs/api-1.1.0.jar:./libs/gson-2.2.jar main/ClusterAnalyzer" 
--------------------------
User 38998 had most receipts
User 31124 had most money received
1F7YubVqjdcKCd4VkRpWcN3Zixh6kPCjgE Paid the FBI with ID 51234
1FNZkaLtcdqAL79aVZVyaCuwxRFpG5LwDb Paid the FBI with ID 51234
14Z5PVtK2DF1vWTStohwr7DAHAq1ebwWX6 Paid the FBI with ID 51234
16APHNm6VaQJZWz6jRTU5TR2EATcmk98KF Paid the FBI with ID 51234
167QBbBzLMqtEVtW8f5r29efvnQXu2SCBx Paid the FBI with ID 51234
1eYdAMFke8e8NTfEXvAjdrc7rHdU6BvpC Paid the FBI with ID 51234
1Lv7wP3Xpd83rXab2wqyHYbS1aqrAbx9VZ Paid the FBI with ID 51234
19AiNctZW9v9m93E5ZhdbFK4aAnYfoYNvq Paid the FBI with ID 51234
1PueZS6Z43LGGD36xu61Jnxg6JZ6eqRxf5 Paid the FBI with ID 51234
14xmzjMqj9q1UHBnmVSZFGNtuXuhQmtTSJ Paid the FBI with ID 51234
1BDUJfKr1wtfft1fwSStdVggm86maSTto Paid the FBI with ID 51234
1DgzTmLnbjdoYo6awErQAxNhveBeoF8KRy Paid the FBI with ID 51234
17TEFU2BHswMsS2Eu5MQsAmzzqqibTL61b Paid the FBI with ID 51234
13jwSdnhhVAdLFGC9zJkbsRw7yjHJZeSfv Paid the FBI with ID 51234
1BFDrRCvYToHvY3afYzpq7S3xhPT3sRBKN Paid the FBI with ID 51234
1ATzZ5cePPs1ahaT84gVDdCDeCDXwcm4Qe Paid the FBI with ID 51234
1K1i77bStKrcBoKWtotHV2AQxK3onM2aRU Paid the FBI with ID 51234
1KCrAsDaZpaEA7oFWQD25BXd5aX9QnjsPZ Paid the FBI with ID 51234
1PULymi58VnpzwRDLM4WGXyzKqiB7cSgK1 Paid the FBI with ID 51234
1C8wkry2XCxaHa7d3sENmc4tnK8XyQWS29 Paid the FBI with ID 51234
1F7gCxexhZyj4ZVJv1qthPGzW2jKX9U1v4 Paid the FBI with ID 51234
1LYYXxzLqVE1vUnDZErNsspdrKuNLwr471 Paid the FBI with ID 51234
1E9G51sThNzP5ELeGJTTs4dyukLY9wHasW Paid the FBI with ID 51234
1KbC6AWrJU9LerBqBTwL6d3y6ivLpFuDjf Paid the FBI with ID 51234
1FMB8eJwrMAmcHZvi9xX5EDHDSSRr3RVsD Paid the FBI with ID 51234
1L25JqyN3zZaTWu64PhjmfqzZRhd7MGd4C Paid the FBI with ID 51234
